Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Atlassian Project),Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Agent Insights Service — agent-based analytics service layer,J2-310,11266,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Low,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,25/Jun/26 5:30 PM,25/Jun/26 5:30 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i002fb:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,25/Jun/26 5:30 PM
Skills Management page — catalog + resource-skill mapping CRUD,J2-309,11265,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,25/Jun/26 5:30 PM,25/Jun/26 5:30 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i002f3:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,25/Jun/26 5:30 PM
"Strategic Roster page — 4 view modes, portfolio hierarchy, KPI cards",J2-308,11264,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,25/Jun/26 5:30 PM,25/Jun/26 5:30 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i002ev:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,25/Jun/26 5:30 PM
Update COMPREHENSIVE_CODEBASE_AUDIT.md to reflect empty catch block and audit logging fixes,J2-307,11263,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,25/Jun/26 5:29 PM,25/Jun/26 5:29 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i002en:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,25/Jun/26 5:29 PM
Fix ResponsiveContainer dimension warnings by adding minWidth props in charts,J2-306,11262,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Low,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,25/Jun/26 5:29 PM,25/Jun/26 5:29 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i002ef:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,25/Jun/26 5:29 PM
Remove placeholder card from configurations main navigation tab,J2-305,11261,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Low,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,25/Jun/26 5:29 PM,25/Jun/26 5:29 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i002e7:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,25/Jun/26 5:29 PM
Add type safety checks for budget line pm_costcategory option sets in reporting grid,J2-304,11260,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,25/Jun/26 5:29 PM,25/Jun/26 5:29 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i002dz:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,25/Jun/26 5:29 PM
Support optional Limit to Portfolios / Programmes / Projects scope selection in reports,J2-303,11259,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,25/Jun/26 5:29 PM,25/Jun/26 5:29 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i002dr:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,25/Jun/26 5:29 PM
Enhanced report config preview with dynamic Reporting Level scaling,J2-302,11258,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,25/Jun/26 5:29 PM,25/Jun/26 5:29 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i002dj:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,25/Jun/26 5:29 PM
Standardize audit logging on approval & financial-report-config & workflow services (27+ writeAuditLog calls),J2-301,11257,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,25/Jun/26 5:29 PM,25/Jun/26 5:29 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i002db:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,25/Jun/26 5:29 PM
