Feature;Detailed Description;What it Enables;Configurable via;Mapping;Priority;Impact;Status
Core Data Model;Standardized and extensible Dataverse-based model covering Projects, Programmes, Portfolios, Risks, Financials, Resources, and Benefits with defined relationships and hierarchy.;Projects, portfolios, risks, finance;Dataverse;Centralised PPM + single source;Must Have;"Foundation for all modules; ensures scalability, consistency, and reuse";
Project Lifecycle Management;Manages full lifecycle from idea to closure including stage-gate governance, approvals, and lifecycle transitions aligned to organisational processes.;Stage gates, approvals;Power Automate;Governance lifecycle mgmt;Must Have;Ensures controlled delivery, auditability, and compliance;
Workflow Engine;Provides configurable automation for approvals, routing, escalations, and notifications using Power Automate with no-code flexibility.;Approvals, routing;Power Automate;Workflow + approval requirements;Must Have;Enables process standardisation and rapid changes without development;
Role-Based Security;Implements role-based access control integrated with Entra ID ensuring least-privilege access and secure data segregation.;Roles, permissions;Entra + security roles;User security requirements;Must Have;Ensures governance, compliance, and secure operations;
Configurable Forms;Dynamic forms with validation, conditional logic, and mandatory rules for consistent and standardised data capture.;Validation, conditional fields;Power Apps;Metadata capture;Must Have;Ensures data quality and standardisation;
Financial Management;Supports budget planning, forecasting, cost tracking, and cashflow management with multi-version capabilities and ERP alignment.;KPIs, forecasts;Rules;Financial Mgmt;Must Have;Critical for financial control and executive reporting;
Risk & Issue Engine;Structured capture, scoring, mitigation planning, and lifecycle tracking of risks and issues with configurable models.;Scoring, mitigation;Config matrix;Risk Mgmt;Must Have;Supports proactive risk mitigation and governance;
Change Management;Captures and manages change requests including impact analysis, approvals, and audit tracking for scope, cost, and schedule.;Approvals, impact;Workflows;Change Mgmt;Must Have;Ensures controlled change and baseline governance;
Resource Management;Plans and allocates resources based on skills, availability, and capacity while tracking utilisation and over-allocation.;Utilization, allocation;Rules;Resource Mgmt;Must Have;Ensures optimal workforce utilisation;
Timesheet Engine;Allows time tracking against activities with validation, approvals, and integration into cost and utilisation tracking.;Approval, validation;Rules;Time Mgmt;Must Have;Supports cost allocation and utilisation insights;
Reporting Layer;Provides real-time dashboards and Power BI reporting with drill-down from portfolio to task-level insights.;Dashboards, insights;Power BI;Reporting;Must Have;Enables data-driven decision making;
Integration Framework;Reusable API and connector framework for SAP, P6, SharePoint, Teams, Outlook ensuring scalable integrations.;SAP, P6;Connectors;Integration;Must Have;Avoids point-to-point integration complexity;
Document Management;Integrates with SharePoint for document storage, versioning, and structured project-level document management.;Versioning, storage;SharePoint;Docs capability;Good to Have;Improves collaboration and document traceability;
Audit & Compliance;Captures detailed logs of all system activities including user actions, approvals, and data changes.;Tracking;OOB;Governance;Must Have;Mandatory for compliance and audit readiness;
Template Library;Reusable templates for projects, workflows, and data structures enabling rapid deployment and standardisation.;Templates;Config;Reusable deployment;Good to Have;Accelerates onboarding and standardisation;
Notifications Engine;Automated alerts and notifications via email or Teams for approvals, escalations, and key events.;Alerts;Flows;Alerts;Must Have;Ensures timely action and responsiveness;
Data Governance;Implements policies for data retention, security, compliance, and GDPR within Dataverse.;Security, policies;Dataverse;Data mgmt;Must Have;Ensures compliance with regulatory standards;
Environment & ALM;Supports Dev/Test/Prod environments with managed solutions, pipelines, and release governance following Power Platform best practices.;Deployment;ALM;Platform governance;Must Have;Ensures scalable enterprise deployment;
UI/UX Framework;Provides consistent and responsive user interface aligned with usability standards across devices.;Navigation;Power Apps;Usability;Must Have;Drives adoption and user efficiency;
AI-ready Layer;Enables integration of AI capabilities such as predictions and summaries using AI Builder for future enhancements.;AI insights;AI Builder;Future roadmap;Good to Have;Supports innovation and future scalability;
Scheduling & Planning Accelerator;Supports detailed schedule creation including WBS, dependencies, milestones, baselines, and critical path tracking either natively or via integration.;Dependencies;Custom/Integration;Schedule Mgmt;Must Have;Critical execution backbone for planning and tracking;
Portfolio Roll-up Engine;Aggregates project data across portfolio including financials, risks, and schedules for executive-level visibility.;Cross-project;Rules;Portfolio mgmt;Must Have;Enables leadership decision-making;
Benefits Realisation Tracker;Tracks planned vs actual business benefits and aligns them with strategic goals across project lifecycle.;KPIs;Config;Benefits Mgmt;Must Have;Ensures value realisation and ROI tracking;
KPI & RAG Engine;Automatically calculates KPIs and assigns RAG status using configurable thresholds and rules.;Thresholds;Rules;KPI tracking;Must Have;Standardises performance monitoring;
Pipeline/Demand Management;Captures and evaluates incoming project ideas with scoring and prioritisation before execution.;Prioritisation;Forms+rules;Pipeline mgmt;Must Have;Improves project selection and portfolio alignment;
Scenario Planning;Supports what-if simulations for financials and schedules to evaluate alternative strategies.;Forecasting;Rules;Forecasting;Good to Have;Enhances strategic decision making;
Scheduling Integration Layer;Handles ingestion, validation, and synchronisation of schedules from tools like Primavera P6 and MS Project.;Validation;Integration;Scheduling tools;Must Have;Ensures consistency with enterprise planning tools;
Data Migration Toolkit;Provides templates, validation logic, and tools for migrating legacy data into the PPM platform.;Migration;Tools;Data mgmt;Must Have;Enables smooth transition from legacy systems;
UX Accessibility;Ensures compliance with WCAG accessibility standards and supports inclusive design principles.;Accessibility;Config;Accessibility;Must Have;Ensures public sector compliance;
Metadata Engine;Central configuration engine to manage fields, rules, dropdowns, and entity behaviour without code changes.;Dynamic fields;Dataverse;Config mgmt;Must Have;Ensures high flexibility and configurability;
